product_name,specs,category
Wireless Bluetooth Earbuds,"Bluetooth 5.3, 30hr battery, touch control, IPX7 waterproof",Electronics
Stainless Steel Water Bottle,"750ml capacity, double-wall insulated, keeps cold 24hrs",Home & Kitchen
Ergonomic Office Chair,"Mesh back, adjustable lumbar support, 360 swivel",Furniture
Kids Digital Learning Tablet,"7 inch screen, parental controls, 50+ preloaded apps",Toys & Games
Non-Stick Frying Pan Set,"3-piece set, aluminum body, PFOA free coating",Home & Kitchen
Running Shoes Men,"Lightweight mesh upper, cushioned sole, breathable",Sports & Outdoors
LED Desk Lamp,"Touch dimmer, 3 color modes, USB rechargeable",Office Products
Yoga Mat Non-Slip,"6mm thickness, eco-friendly TPE material, carry strap included",Sports & Outdoors
Pet Grooming Brush,"Self-cleaning, stainless steel bristles, ergonomic handle",Pet Supplies
Portable Phone Charger,"10000mAh, dual USB output, fast charging",Electronics
